x,y,intensity,area
2.888767e+03,1.555650e+03,nan,nan
3.213572e+03,1.566958e+03,nan,nan
2.744026e+03,1.554146e+03,nan,nan
3.528840e+03,1.563186e+03,nan,nan
2.331429e+03,1.560833e+03,nan,nan
2.645782e+03,1.580110e+03,nan,nan
3.346755e+03,1.575666e+03,nan,nan
3.048336e+03,1.585076e+03,nan,nan
2.822106e+03,1.593599e+03,nan,nan
3.671599e+03,1.573543e+03,nan,nan
2.698916e+03,1.581530e+03,nan,nan
2.763419e+03,1.605245e+03,nan,nan
3.440522e+03,1.602671e+03,nan,nan
2.185310e+03,1.590419e+03,nan,nan
1.977145e+03,1.618891e+03,nan,nan
3.806938e+03,1.592365e+03,nan,nan
2.890717e+03,1.605784e+03,nan,nan
3.746294e+03,1.601817e+03,nan,nan
